CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"20,200.00","33,800",23.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,250.00","3,445",24.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,300.00","4,420",24.85,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,350.00","2,795",25.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,400.00","4,095",26.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,450.00","18,590",27.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,500.00","31,785",28.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,550.00","2,600",29.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,600.00","3,445",30.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,650.00","3,315",32.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,700.00","3,705",33.55,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,750.00","1,560",35.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,800.00","4,095",37.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,850.00","2,860",39.25,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,900.00","2,860",41.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,950.00","1,560",44.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,000.00","19,890",46.95,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,050.00","2,860",50.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,100.00","2,860",53.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,150.00","4,615",57.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,200.00","4,420",61.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,250.00","4,420",65.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,300.00","2,860",70.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,350.00","2,860",77.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,400.00","2,860",84.80,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,450.00","2,860",93.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,500.00","15,730",102.00,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,550.00","2,860",111.60,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,600.00","2,860",121.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,650.00","2,860",132.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,700.00","2,860",145.70,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,750.00","2,860",158.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,800.00","2,860",170.45,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"21,850.00","2,860",184.70,-,-,-,-,-,-,-,-,
