CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,2,2,-,"2,600.00","-2,684.90","1,690","2,223.00","2,821.95","1,690","20,200.00","3,12,585",23.85,-,-,23.70,23.85,25.80,195,195,195,
,-,-,-,-,-,-,"1,690","2,215.35","2,813.20","1,690","20,250.00","22,035",24.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,161.90","2,751.55","1,690","20,300.00","4,22,045",25.25,-,-,25.10,25.25,25.21,47,33,33,
,-,-,-,-,-,-,"3,380","2,120.05","2,707.20","3,380","20,350.00","23,075",26.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,690","2,070.45","2,648.15","1,690","20,400.00","2,57,205",27.05,-,-,26.85,27.05,24.68,1,1,1,
,-,-,-,-,-,-,"1,690","2,027.35","2,620.30","1,690","20,450.00","21,060",23.45,-,-,-,-,-,-,-,-,
,"2,189",-75,"1,145",29.42,"2,400.00",298.65,130,"2,408.45","2,428.90",65,"20,500.00","1,300",100.05,101.50,195,-86.15,101.65,32.58,"44,793","9,530","25,132",
,2,-,-,-,"2,277.20",-,"1,755","1,953.40","2,533.40","1,690","20,550.00","2,55,710",30.75,-,-,30.45,30.75,23.99,2,2,2,
,4,-,-,-,"2,033.15",-,"1,755","2,033.20","2,466.05","1,690","20,600.00","2,99,195",32.30,-,-,-,-,-,-,-,-,
,3,-8,10,38.36,"2,380.00",372.40,"1,755","1,840.45","2,420.75","1,690","20,650.00","2,93,670",34.10,-,-,33.70,34.10,23.61,1,1,1,
,4,-,-,-,"2,152.15",-,650,"1,793.90",-,-,"20,700.00","2,98,415",38.25,-,-,37.80,38.25,23.74,1,1,1,
,3,-,-,-,"2,107.00",-,"1,690","1,704.70","2,310.50","1,690","20,750.00","7,475",43.10,-,-,-,-,-,-,-,-,
,4,-,-,-,"2,045.70",-,325,"1,786.00","2,244.20","1,690","20,800.00",65,125.05,128.60,65,36.55,128.80,31.55,"4,934","1,149","1,283",
,3,-,-,-,"2,207.25",-,650,"1,711.25","2,383.40","1,690","20,850.00","17,355",35.90,-,-,-,-,-,-,-,-,
,3,-,-,-,"1,980.85",-,"1,690","1,587.85","2,328.60","1,690","20,900.00","2,95,620",60.70,-,-,59.95,60.70,24.50,18,18,18,
,4,-,-,-,"2,124.40",-,"1,170","1,618.60","2,146.65","1,690","20,950.00","39,325",37.85,-,-,-,-,-,-,-,-,
,"15,584","-6,485","10,337",29.06,"1,959.95",254.25,195,"1,965.00","1,981.55",65,"21,000.00",65,150.10,152.25,65,-121.65,152.25,30.98,"61,674","1,748","50,390",
